MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,MSOA01CD,MSOA01NM,CHGIND,ratio_la_median_price_2001,ratio_la_median_price_2011,ratio_r_median_price_2001,ratio_r_median_price_2011,ratio_la_earnings_2001,ratio_la_earnings_2011,ratio_r_earnings_2001,ratio_r_earnings_2011,ratio_la_nssec_2001,ratio_la_nssec_2011,ratio_r_nssec_2001,ratio_r_nssec_2011,ratio_la_qualification_2001,ratio_la_qualification_2011,ratio_r_qualification_2001,ratio_r_qualification_2011,ratio_la_space_vacant_2001,ratio_la_space_vacant_2011,ratio_la_no_children_2001,ratio_la_no_children_2011,ratio_la_dependent_children_2001,ratio_la_dependent_children_2011,ratio_la_nondependent_children_2001,ratio_la_nondependent_children_2011,ratio_la_retired_2001,ratio_la_retired_2011,ratio_la_student_2001,ratio_la_student_2011,ratio_la_newlybuilt_sale_2001,ratio_la_newlybuilt_sale_2011,ratio_la_owned_2001,ratio_la_owned_2011,ratio_la_rented_2001,ratio_la_rented_2011,ratio_la_migrants_2001,ratio_la_migrants_2011
E02003132,Plymouth 011,E06000026,Plymouth,E12000009,South West,E02003132,Plymouth 011,U,1.1201866977829638,0.9683098591549296,0.7461139896373057,0.7432432432432432,1.0,0.9907302543976452,0.8272677467324098,0.8336319141408185,0.9284643531847648,1.0782446888350778,0.7493049910910271,0.8477574344196486,0.8493551525364132,0.9634764677703487,0.608169596062285,0.7551459930104935,0.39930615337686337,0.8730477238523512,0.9167424439333502,1.0417644626642624,0.932705755566786,1.0690604314867913,1.1933771057743654,1.0865590890355281,1.2786619408730475,1.224985256594281,0.507083301277909,0.5042600645155967,0.6140311852359762,0.0,1.1585003767575648,1.2018453465438153,0.7168506566724466,0.7064570365542774,1.0,1.756264270122221
E02003133,Plymouth 012,E06000026,Plymouth,E12000009,South West,E02003133,Plymouth 012,U,1.1357448463632829,1.0528169014084507,0.7564766839378239,0.8081081081081081,1.0,1.0270894947088094,0.8272677467324098,0.864225734166765,1.0571559943935482,1.042182607051651,0.8531638939543098,0.8194040390826598,0.8993504793311932,0.909441586947617,0.643968092852448,0.7127949599535954,0.39798764022103356,0.4909308448798965,1.1999103697562703,1.0788199982810427,1.133182291537327,1.1464897509554524,1.2142763335460875,1.3144185219015685,1.2156267792018733,1.3637141344444388,0.5647610138907235,0.5298139076363254,0.0,0.0,1.2436891138846502,1.30326110415758,0.593180011716058,0.5647115918799619,1.0,1.4133747077340444
E02003134,Plymouth 013,E06000026,Plymouth,E12000009,South West,E02003134,Plymouth 013,U,0.7779074290159471,0.7535211267605634,0.5181347150259067,0.5783783783783784,1.0,0.8301079262737402,0.8272677467324098,0.6984791838660219,0.5792091129549202,0.6551010005283313,0.4674431255587053,0.5150655961900952,0.46185956591320226,0.5230247674718937,0.3307084731282564,0.4099322304317941,0.5359329040118468,0.7643622401191169,0.70459138189569,0.8517214502145619,1.2811709899558819,1.2378203313277325,1.3934347564697938,1.4678730946285234,0.859775116153199,0.8487651676092209,0.47807425887802635,0.518065171421642,0.0,0.0,0.7137426500872938,0.8415926711899515,1.5469131224433201,1.2262009945966128,1.0,1.2542123101468747
E02003135,Plymouth 014,E06000026,Plymouth,E12000009,South West,E02003135,Plymouth 014,U,0.7156748346946713,0.7394366197183099,0.47668393782383417,0.5675675675675675,1.0,0.8887665568715397,0.8272677467324098,0.7478364193890789,0.9912894153630265,0.7818596689460107,0.8000071343605034,0.6147281353530025,0.6072386214198792,0.6235747915213381,0.43480523547717465,0.48874053587360916,0.9421357656506906,1.122451580818905,0.9368593605250074,0.8799424915419687,1.1731630871911074,1.4555655260953853,0.9151226662195353,1.01670158470573,0.7028852996258368,0.7335406108067262,0.48156621605087674,0.5285599133554068,0.0,0.0,0.8002400851988054,0.7997620492055895,1.4158646504634718,1.318850779851109,1.0,2.3801647790061224
E02003136,Plymouth 015,E06000026,Plymouth,E12000009,South West,E02003136,Plymouth 015,U,1.3994554647996889,1.1901408450704225,0.9321243523316062,0.9135135135135135,1.0,1.0852035881981918,0.8272677467324098,0.9131247788654323,1.1467236416379891,1.275087303158984,0.92544829010838,1.0025226666824483,1.0311477430568579,1.0686127606722295,0.7383397916674683,0.8375488881103215,0.42394335531452804,0.5923523117310519,1.2439413986606758,1.0609000361394183,0.9586107637866489,1.013272295058177,1.1591441426179117,1.1066717772239487,1.3975902220118774,1.6398444520830764,0.5364872226407422,0.4082492755501036,0.0,0.7109129357441929,1.4055873338296405,1.4450182646890783,0.28760908079208475,0.3502252424841735,1.0,1.392899255922275
E02003137,Plymouth 016,E06000026,Plymouth,E12000009,South West,E02003137,Plymouth 016,U,1.5091404122909373,1.5669014084507042,1.005181347150259,1.2027027027027026,1.0,1.2360473754292522,0.8272677467324098,1.0400495341431772,1.678748320926938,1.743478690324083,1.3548118367080857,1.3707899855934718,2.127329993849813,1.7468788587119235,1.5232466880164803,1.369154945199431,1.0609447281868587,0.9866287092436563,1.1030835453458236,1.155153017533837,1.0145653671087873,1.0897204514143044,1.0726560451733946,1.0213404096446919,1.3266039098155138,1.4612471329679046,0.7917311339144105,0.6081773484754351,0.1811263594188347,0.0,1.356013832942925,1.4120616854172345,0.3566370748054844,0.40882708993343747,1.0,1.6379165506120423
E02003138,Plymouth 017,E06000026,Plymouth,E12000009,South West,E02003138,Plymouth 017,U,1.2602100350058343,1.2359154929577465,0.8393782383419689,0.9486486486486486,1.0,1.2662849533954725,0.8272677467324098,1.065492392970869,1.6064202648453372,1.6153241755112726,1.296440426721309,1.270029978322413,1.9840463860689619,1.7563174995740385,1.4206503434765074,1.3765526887509527,0.7142918943747981,1.2113838917995587,1.0341268774814707,1.1503674873575518,0.9817312923089481,1.122057251850151,0.8010380600291214,0.8966154620439922,1.0375763896827581,1.0059540179629116,1.1559349451543708,1.2259200950448053,0.0,0.0,1.2802011983964305,1.2525601246554698,0.4883965091229092,0.6389732760874687,1.0,2.752820542628557
E02003139,Plymouth 018,E06000026,Plymouth,E12000009,South West,E02003139,Plymouth 018,U,1.103850641773629,1.091549295774648,0.7352331606217617,0.8378378378378378,1.0,1.2194926063494287,0.8272677467324098,1.0261198254511144,1.5163659884512783,1.2750317397368438,1.2237633028880681,1.0024789805834682,1.1469177587343347,1.1075504610591185,0.8212353901228823,0.8680671720620275,0.3710104629812042,0.3444190471528503,1.5179656785270894,1.4168527399829318,1.3904808228341368,1.405991156875471,0.9995525187241079,1.1802806724405615,0.9623351061209625,1.326367413532914,0.8336808744977608,0.5724667769656415,0.0,0.0,1.3904012882742318,1.356162862213053,0.26714154481116525,0.4533706898748775,1.0,1.5222123588704903
E02003140,Plymouth 019,E06000026,Plymouth,E12000009,South West,E02003140,Plymouth 019,U,1.3730066122131466,1.1443661971830985,0.9145077720207254,0.8783783783783784,1.0,1.0807036232391898,0.8272677467324098,0.9093383653732752,1.2425286002458424,1.2927314075947343,1.002766426674306,1.0163951400310018,1.1890229893527127,1.2100128492859696,0.8513842872253704,0.9483743352279834,0.4752308940220435,0.7770511525539564,1.1255122261573605,1.0584081130648624,1.0226425699279618,1.1773890160014528,1.1921378776628544,1.1917755562635346,1.45314455193973,1.6134059752860037,0.45310117144494544,0.4439745939286392,3.4981171038201175,1.7335786665666146,1.43517610854752,1.4851880956378134,0.21971910183910046,0.2911150278769732,1.0,1.5472636936499735
E02003141,Plymouth 020,E06000026,Plymouth,E12000009,South West,E02003141,Plymouth 020,U,0.7467911318553092,0.7992957746478874,0.49740932642487046,0.6135135135135135,1.0,1.0243478870278226,0.8272677467324098,0.8619188583559382,1.0353594478715904,1.0457869857318822,0.8355732766716658,0.8222379401945965,1.0307735604637587,1.0879096346974688,0.7380718631386084,0.8526732399603566,1.6507601229002418,1.6167740915171238,0.9677134885790162,1.0584668767403957,0.8574243313748784,0.9012534428943676,0.7713025702716343,0.7986530361612333,0.8355479893111097,0.8870831320536295,0.74679631719901,0.7160673184429066,0.07757920132336814,0.0,1.0046377127785073,0.9465235457870039,1.0322460439312957,1.0957045662137985,1.0,3.2328332985212986
