MSOA11CD,ratio_la_median_price_2001,ratio_la_median_price_2011,ratio_la_earnings_2001,ratio_la_earnings_2011,ratio_la_nssec_2001,ratio_la_nssec_2011,ratio_la_qualification_2001,ratio_la_qualification_2011,Score_2001,Score_2011
E02003163,0.15034363823387945,0.11933740414845283,1.0,1.0731304799636294,1.2173835422380193,1.4181193699593275,1.5915511928946726,1.4915315725001617,0.5860171567574856,0.6409953654350147
E02003164,0.16446726134360118,0.13967928748799735,1.0,0.9346021952328376,1.1150446089241608,1.1152583254364468,1.1547263320131842,1.1145443092557883,0.26614584997463897,0.21530427832666824
E02003165,-0.07705564283219545,-0.03202025292312621,1.0,0.8830928102877184,0.9380270267175456,0.9673319417541846,0.8165446180302324,0.8952740003811975,-0.162811374026164,-0.10051555729679479
E02003166,0.04675067255623281,-0.1384238235282185,1.0,0.8171637331947783,0.9393515720943952,0.817946523090302,0.7629180233737216,0.7450261340609052,-0.13368616313456755,-0.3456749401522361
E02003167,-0.22854144691456876,-0.2777530767061031,1.0,0.7517386503864392,0.7545040526075579,0.7406416212823235,0.8442937146218589,0.728963293918847,-0.326676191260142,-0.48314154092064504
E02003168,0.11097444165630259,0.08749501258631606,1.0,0.8995349743456517,1.0201456407318443,1.0024730185930144,0.8876765577104497,0.9168871683479692,0.02119964189038219,-0.004329334841018169
E02003169,0.3725144341628072,0.31160291104333177,1.0,0.9889809703188932,1.2046607524908348,1.2444425355059054,1.3893561920100748,1.2636443157427628,0.5646102166300405,0.47801767188988564
E02003170,0.0,0.08749501258631606,1.0,0.9225238682860296,0.9417932303408012,1.0639752626092427,0.9839179388886088,1.077010624199878,-0.019925686205134924,0.13428019345206946
E02003171,-0.031026712087270075,0.04379393490382144,1.0,0.8517003312333571,0.927112829732092,0.9608308116118972,0.877789788097656,0.9275904199051712,-0.10880333509740613,-0.05371710473793329
E02003892,0.0,0.0054122055506238805,1.0,1.0424333120612637,1.2491112540881628,1.2141925862134877,1.3633793980548727,1.2830106714085687,0.3901054431782853,0.3324883491896029
E02003893,0.09291765068566368,0.0013572797313120848,1.0,1.0315386088066367,1.2863411911739309,1.198829826565026,1.3615542238269631,1.2148818338228664,0.45643657092184353,0.2775059859751649
E02003894,-0.2125832044892892,-0.31527507608029287,1.0,0.8998111040204212,1.0380014041997327,0.963588840424078,0.8847565280499509,0.9053664631641162,-0.13031123878330603,-0.2329879794667666
E02003895,-0.22064136641686297,-0.1317836657392347,1.0,0.8954913848117422,1.0858266844723217,0.9447492363397092,0.9956742339268246,0.8855368474746508,-0.03869353017862327,-0.16619604126558365
E02003896,-0.20898601508930695,-0.24627524307787238,1.0,0.8649674537332483,0.9057257210473082,0.8681073840299622,0.9694050397791644,0.8663287330986855,-0.15300760264122443,-0.285412789988316
E02003897,0.1151247496201638,0.03181406364391497,1.0,1.1874288449266113,1.6292460983220147,1.3692316231026271,1.4146446521184055,1.3114900153390965,0.6979300126695283,0.48371378122456843
E02003898,0.31485999207826926,0.1907034794276877,1.0,1.1356522016592214,1.4765058265265067,1.383400414929434,1.6517815597185972,1.4125528192467307,0.8539032884084558,0.6212888917337334
E02003899,-0.11884294795137079,-0.12848714243950518,1.0,0.9267141033822592,1.038879661568258,0.9499433980066436,0.783185698361522,0.8183349347279536,-0.14570406035713737,-0.19604283687224738
E02003900,-0.17434866198908264,-0.12520615986728362,1.0,1.036835992342055,1.2395399833131868,1.2036646268737559,1.1605203817857304,1.1336378512598675,0.17399512353287022,0.16903704898478966
E02003901,0.13702592297600305,0.06947675639460228,1.0,0.9335098915124442,0.9236347223589508,1.0025424235049811,1.026797463270337,0.9751989021130708,0.06364837625968285,0.029855504259797494
E02003902,-0.34423050076782796,-0.2943143744489184,1.0,0.9591952776005104,0.977218374049998,0.9641163633477392,0.7618023544431609,0.7717253419822144,-0.3058854277328208,-0.29145948447069997
E02003903,-0.12945508945758724,-0.08237495136251147,1.0,1.0392552648372686,1.2415745731196544,1.1468136435830791,1.0708499606004271,1.1052490645581547,0.14240561974872687,0.1405181608825057
E02003904,0.02308419055842951,0.044618445920217735,1.0,0.924010848755584,0.9708570015815116,1.0171702019391125,1.044303052613444,0.9712166653861808,0.04528685646074571,0.021520373756901866
E02003905,-0.10839095370295557,0.08846040902297417,1.0,1.0127300574345883,1.1581886383346411,1.10857053972458,1.067015725692063,1.1191867330081684,0.10233314025522458,0.20576939200753047
E02003906,0.12267459061352184,0.2403834950827393,1.0,0.9586630504148054,1.074936233456686,1.1876459721431452,1.172767513885676,1.236930149646521,0.23337945286669837,0.3871031970436545
E02003907,0.09797826138994849,0.19665853602543895,1.0,1.0416719846841098,1.191235433611581,1.3334402143328434,1.4518246518015876,1.4529175052862673,0.45936914527055683,0.5999107590217596
E02003908,0.1556445479496516,0.12760061699719502,1.0,1.0405781748564136,1.2941077927486162,1.2872039951949106,1.3411221398927258,1.2913059673171414,0.4794197516538671,0.43975855714626816
E02003909,0.1464074425489782,0.0,1.0,0.961661135928526,1.1863363290691018,1.1188925545204842,1.1622628749905246,1.1288008841292843,0.30299155008187817,0.1628802617114755
E02003910,0.05629209467954844,0.1493848928097537,1.0,1.0580331844288449,1.4519103151189399,1.4029335007156525,1.6333306420077722,1.5094011459183618,0.7005075028794596,0.6547947709310493
E02003911,0.4097489296668144,0.2826788688702829,1.0,1.1202291001914488,1.4016070064566035,1.4533541266930992,1.61650942797439,1.5110401012832135,0.8359723150358003,0.7642187949798844
E02003912,0.27907327048572395,0.2826788688702829,1.0,1.0291174218251435,1.1452340006278792,1.2184729803114802,1.3172100939769142,1.3061864859669596,0.43986097881449526,0.48343496600678165
E02003913,0.4097489296668144,0.41377822709207146,1.0,1.1315405232929163,1.289541098788167,1.3629994381000283,1.626861716315554,1.4738745596751808,0.777620544439793,0.7565477876150222
E02003914,-0.11534135370746706,-0.09950356244346616,1.0,0.9109521378430122,0.9043263940014824,0.9044487577343716,0.8845783955825179,1.0590067236801255,-0.15949837559265329,-0.06383225464165172
E02003915,-0.027020962334709023,-0.03919181696493495,1.0,0.7594881940012763,0.7236278842423849,0.7350505325111478,0.8705100352069663,0.90884190199926,-0.22876028972695117,-0.2564450011352618
E02003916,0.24041794633087496,0.2826788688702829,1.0,0.9538602425015954,1.1164875514002357,1.0264375350437749,1.6032327512417175,1.4259695975216666,0.5794789601512518,0.4298015886689768
E02003917,0.0029345503854142914,0.09103689386188589,1.0,0.9764071474154434,1.055161777014079,1.0913684312865823,0.9547618708820584,1.1125183373785643,0.029102773441112773,0.18520832818408978
E02003918,-0.02732752189019182,-0.04208226150013408,1.0,0.9429942565411614,1.0328437874888459,1.0153330452263714,0.9938602441264264,1.008539131233026,0.025218156092716496,0.004542081260031279
