LAD11CD,residential_sale_2001_la,residential__sale_2011_la,newlybuilt_sale_2001_la,newlybuilt_sale_2011_la,newlybuilt_sale_2001_la_pct,newlybuilt_sale_2011_la_pct
E07000132,2719,1363,367,204,0.134976094,0.149669846
E07000133,1171,662,118,62,0.100768574,0.093655589
E07000134,2397,1091,478,103,0.199415937,0.094408799
E07000135,1153,627,10,51,0.008673027,0.081339713
E07000136,1567,792,191,65,0.12188896,0.082070707
E07000137,3434,1713,353,86,0.102795574,0.05020432
E07000138,2645,1266,154,183,0.058223062,0.144549763
E07000139,3386,1564,980,179,0.289427053,0.114450128
E07000140,2450,1206,453,57,0.184897959,0.047263682
E07000141,3573,2000,419,293,0.117268402,0.1465
E07000142,2259,1116,445,138,0.196989819,0.123655914
E07000143,3153,1904,281,148,0.089121472,0.077731092
E07000144,3201,1766,401,42,0.125273352,0.023782559
E07000145,2434,1270,142,94,0.058340181,0.074015748
E07000146,3527,2131,361,128,0.102353275,0.060065697
E07000147,2699,1777,168,104,0.062245276,0.058525605
E07000148,3254,1806,315,87,0.096803934,0.048172757
E07000149,2863,1980,376,454,0.131330772,0.229292929
E07000150,1037,830,85,365,0.081967213,0.439759036
E07000151,2179,1059,399,80,0.183111519,0.075542965
E07000152,2833,1189,575,106,0.202965055,0.089150547
E07000153,2837,1218,391,106,0.137821643,0.087027915
E07000154,6210,2569,589,159,0.094847021,0.061891787
E07000155,2473,1244,588,130,0.237767893,0.104501608
E07000156,2001,768,253,20,0.126436782,0.026041667
E07000163,1364,726,165,51,0.120967742,0.070247934
E07000164,1876,991,274,84,0.146055437,0.084762866
E07000165,3704,2221,205,52,0.055345572,0.023412877
E07000166,1120,489,200,21,0.178571429,0.042944785
E07000167,975,646,32,58,0.032820513,0.089783282
E07000168,2999,1541,183,102,0.06102034,0.066190785
E07000169,1751,1088,165,182,0.094231868,0.167279412
E07000170,2773,1391,387,251,0.139560043,0.180445723
E07000171,2480,1316,300,112,0.120967742,0.085106383
E07000172,2388,1385,86,106,0.0360134,0.076534296
E07000173,2663,1511,58,140,0.021779947,0.092653872
E07000174,2189,1165,198,169,0.090452261,0.145064378
E07000175,2651,1391,347,125,0.130894002,0.089863408
E07000176,2658,1641,211,149,0.079382995,0.090798294
E07000177,4046,1838,431,129,0.106524963,0.070184984
E07000178,2819,1604,435,64,0.154310039,0.039900249
E07000179,3265,1845,215,126,0.065849923,0.068292683
E07000180,2622,1562,253,135,0.096491228,0.086427657
E07000181,2388,1506,241,98,0.100921273,0.065073041
E07000187,2703,1608,302,222,0.11172771,0.138059701
E07000188,3024,1608,344,239,0.113756614,0.148631841
E07000189,4113,2218,478,196,0.116216873,0.088367899
E07000190,2966,1577,494,224,0.166554282,0.142041852
E07000191,788,519,36,21,0.045685279,0.040462428
E07000192,1974,922,262,67,0.132725431,0.072668113
E07000193,2639,1282,401,132,0.151951497,0.102964119
E07000194,2025,1166,390,132,0.192592593,0.113207547
E07000195,1941,1278,53,135,0.027305513,0.105633803
E07000196,1914,935,273,47,0.142633229,0.05026738
E07000197,2738,1470,292,106,0.106647188,0.072108844
E07000198,1866,948,191,30,0.102357985,0.03164557
E07000199,1542,711,198,45,0.128404669,0.063291139
E07000200,2016,1180,211,100,0.104662698,0.084745763
E07000201,1566,1009,88,198,0.056194125,0.196233895
E07000202,2920,1616,271,121,0.092808219,0.074876238
E07000203,2164,1433,225,158,0.103974122,0.1102582
E07000204,2712,1465,364,69,0.134218289,0.047098976
E07000205,2895,1809,367,96,0.126770294,0.053067993
E07000206,3310,1627,381,87,0.11510574,0.053472649
E07000207,3637,2455,329,217,0.09045917,0.088391039
E07000208,1815,1191,178,175,0.098071625,0.146935348
E07000209,3157,1975,202,121,0.063984796,0.061265823
E07000210,1747,1236,125,91,0.071551231,0.073624595
E07000211,3330,2268,314,209,0.094294294,0.092151675
E07000212,1821,1219,95,99,0.052169138,0.08121411
E07000213,2063,1274,92,64,0.04459525,0.050235479
E07000214,2243,1237,145,109,0.064645564,0.088116411
E07000215,1805,1138,81,66,0.044875346,0.057996485
E07000216,2615,1845,76,66,0.029063098,0.035772358
E07000217,2631,1590,210,159,0.07981756,0.1
E07000218,1239,620,86,26,0.069410815,0.041935484
E07000219,2769,1284,369,127,0.133261105,0.098909657
E07000220,2317,1287,324,65,0.139835995,0.050505051
E07000221,2727,1679,354,84,0.129812981,0.05002978
E07000222,3692,2062,761,60,0.206121343,0.029097963
E07000223,1516,999,22,39,0.014511873,0.039039039
E07000224,4582,2702,411,173,0.089698821,0.064026647
E07000225,2658,1760,252,150,0.094808126,0.085227273
E07000226,2192,1252,52,169,0.023722628,0.134984026
E07000227,3336,1883,261,56,0.07823741,0.029739777
E07000228,3189,2096,137,189,0.042960176,0.090171756
E07000229,3463,1791,41,85,0.011839446,0.04745952
E07000234,2271,1115,440,56,0.193747248,0.050224215
E07000235,1358,982,68,64,0.050073638,0.065173116
E07000236,1824,974,194,74,0.106359649,0.075975359
E07000237,2599,1266,116,85,0.044632551,0.0671406
E07000238,2872,1487,429,65,0.149373259,0.043712172
E07000239,1987,1059,178,54,0.089582285,0.050991501
E07000240,3446,2333,273,156,0.079222287,0.066866695
E07000241,1970,1260,57,135,0.02893401,0.107142857
E07000242,3870,1994,373,128,0.096382429,0.064192578
E07000243,1967,956,144,140,0.073207931,0.146443515
E08000001,5974,2636,693,244,0.116002678,0.092564492
E08000002,4136,1906,207,150,0.050048356,0.078698846
E08000003,9133,4569,1477,725,0.161721231,0.158678048
E08000004,4172,1784,252,75,0.060402685,0.042040359
E08000005,3995,1812,273,178,0.068335419,0.098233996
E08000006,4309,2419,284,406,0.065908563,0.16783795
E08000007,6268,3255,222,66,0.035417996,0.020276498
E08000008,4406,2003,349,209,0.079210168,0.104343485
E08000009,4408,2700,265,139,0.060117967,0.051481481
E08000010,6096,2974,812,210,0.1332021,0.07061197
E08000011,2111,926,404,110,0.191378494,0.118790497
E08000012,7109,3679,957,483,0.13461809,0.131285675
E08000013,3258,1429,536,133,0.164518109,0.093072078
E08000014,5062,2545,277,146,0.054721454,0.057367387
E08000015,6613,3227,379,113,0.057311356,0.035017044
E08000016,4423,2534,693,466,0.156680986,0.183898974
E08000017,6272,2761,627,162,0.099968112,0.058674393
E08000018,4721,2312,849,272,0.179834781,0.117647059
E08000019,9946,5250,833,437,0.083752262,0.083238095
E08000021,5564,2709,404,300,0.072609633,0.110741971
E08000022,4758,2505,370,282,0.077763766,0.11257485
E08000023,2352,1347,57,187,0.024234694,0.138827023
E08000024,4803,2461,381,286,0.079325422,0.116212922
E08000025,19191,8850,1642,724,0.08556094,0.08180791
E08000026,6360,3260,424,440,0.066666667,0.134969325
E08000027,5107,3061,279,254,0.054630899,0.082979418
E08000028,4806,2572,396,361,0.082397004,0.140357698
E08000029,4412,2470,513,162,0.116273799,0.065587045
E08000030,3926,2311,251,197,0.063932756,0.085244483
E08000031,3564,1945,131,154,0.036756453,0.079177378
E08000032,11231,4559,1122,291,0.099902057,0.063829787
E08000033,4584,2208,310,112,0.067626527,0.050724638
