MSOA01CD,tenure_all_2001,owned_2001,rented_2001,owned_2001_pct,rented_2001_pct
E02001736,5036,1477,3345,0.293288324,0.664217633
E02001737,3006,593,2331,0.197272122,0.775449102
E02001738,2453,2323,101,0.947003669,0.041174073
E02001739,3292,1948,1237,0.591737546,0.375759417
E02001740,2256,2075,146,0.919769504,0.064716312
E02001741,3276,2628,532,0.802197802,0.162393162
E02001742,2584,2252,285,0.871517028,0.110294118
E02001743,3004,2287,582,0.761318242,0.193741678
E02001744,2646,1802,778,0.681027967,0.294028723
E02001745,2735,1764,906,0.644972578,0.331261426
E02001746,3396,2404,889,0.707891637,0.261778563
E02001747,2854,2474,327,0.866853539,0.114576034
E02001748,2466,1381,1021,0.560016221,0.414030819
E02001749,2515,1807,673,0.718489066,0.267594433
E02001750,2629,2162,389,0.822365919,0.147965006
E02001751,2599,1725,821,0.663716814,0.315890727
E02001752,2687,1401,1225,0.52139933,0.455898772
E02001753,2914,1919,901,0.658544955,0.30919698
E02001754,2695,2203,418,0.817439703,0.155102041
E02001755,3178,2351,767,0.739773442,0.241346759
E02001756,3503,1353,2058,0.386240365,0.587496432
E02001757,2736,1969,709,0.719663743,0.259137427
E02001758,2434,1700,659,0.698438784,0.27074774
E02001759,2904,1948,835,0.670798898,0.287534435
E02001760,3219,1353,1767,0.420316869,0.548928239
E02001761,2549,1527,940,0.599058454,0.368772067
E02001762,2414,1924,410,0.797017399,0.169842585
E02001763,2859,1297,1481,0.453655124,0.518013291
E02001764,3301,1330,1813,0.40290821,0.549227507
E02001765,2771,1102,1586,0.397690364,0.57235655
E02001766,2760,1547,1117,0.560507246,0.404710145
E02001767,3230,1871,1269,0.579256966,0.392879257
E02001768,3210,1929,1187,0.600934579,0.369781931
E02001769,3781,1364,2260,0.360751124,0.597725469
E02001770,3036,2303,608,0.7585639,0.200263505
E02001771,2815,1491,1235,0.529662522,0.438721137
E02001772,2445,1698,690,0.694478528,0.282208589
E02001773,2439,2097,295,0.859778598,0.12095121
E02001774,2418,1106,1248,0.457402812,0.516129032
E02001775,2474,1167,1261,0.47170574,0.509700889
E02001776,3522,1820,1627,0.516751846,0.461953436
E02001777,2851,1827,967,0.64082778,0.339179235
E02001778,2841,1494,1265,0.525871172,0.445265751
E02001779,2592,1072,1462,0.413580247,0.56404321
E02001780,2625,1163,1416,0.443047619,0.539428571
E02001781,2600,955,1599,0.367307692,0.615
E02001782,3837,1904,1855,0.496221006,0.483450612
E02001783,3052,1215,1798,0.398099607,0.589121887
E02001784,2940,1273,1623,0.432993197,0.552040816
E02001785,3572,2186,1286,0.611982083,0.360022396
E02001786,3184,1651,1496,0.518530151,0.469849246
E02001787,2316,1312,950,0.566493955,0.410189983
E02001788,2637,1632,962,0.618885097,0.364808495
E02001789,2456,2330,91,0.948697068,0.037052117
E02001790,2456,1821,601,0.741449511,0.24470684
E02001791,2353,2193,130,0.9320017,0.055248619
E02001792,2969,2715,190,0.91444931,0.063994611
E02001793,3965,1436,2450,0.362168979,0.617906683
E02001794,3805,1672,2073,0.439421813,0.544809461
E02001795,3822,1874,1869,0.490319205,0.489010989
E02001796,4016,2785,1105,0.693476096,0.275149402
E02001797,2351,1932,373,0.821777967,0.158655891
E02001798,3587,1804,1716,0.502927237,0.478394201
E02001799,4349,2013,2254,0.462865026,0.518280064
E02001800,2772,1805,923,0.651154401,0.332972583
E02001801,2356,1635,649,0.693972835,0.275466893
E02001802,2919,920,1943,0.31517643,0.665638917
E02001803,2910,1116,1681,0.383505155,0.57766323
E02001804,2440,1336,1053,0.547540984,0.431557377
E02001805,2479,2050,380,0.826946349,0.153287616
E02001806,3908,1482,2260,0.379222108,0.578300921
E02001807,2844,1633,1175,0.57419128,0.413150492
E02001808,2365,1910,383,0.807610994,0.161945032
E02001809,2936,1948,947,0.663487738,0.322547684
E02001810,3682,2401,1194,0.652091255,0.324280282
E02001811,4094,1835,2195,0.448216903,0.536150464
E02001812,4045,3692,292,0.912731768,0.072187886
E02001813,4348,1477,2785,0.339696412,0.640524379
E02001814,2505,1523,921,0.607984032,0.367664671
E02001815,3965,2799,1095,0.70592686,0.276166456
E02001816,3455,1621,1777,0.469175109,0.514327062
E02001817,3100,1634,1406,0.527096774,0.453548387
E02001818,3219,1742,1418,0.541161852,0.440509475
E02001819,3035,2605,382,0.858319605,0.125864909
E02001820,3310,2016,1256,0.609063444,0.379456193
E02001821,2393,1749,616,0.730881738,0.257417468
E02001822,3126,2439,622,0.780230326,0.198976328
E02001823,2961,1694,1215,0.572104019,0.410334347
E02001824,3772,2474,1213,0.655885472,0.321580064
E02001825,3443,2141,1225,0.621841417,0.355794365
E02001826,2759,1418,1295,0.513954331,0.469372961
E02002615,3900,3125,643,0.801282051,0.164871795
E02002616,2944,2682,189,0.911005435,0.06419837
E02002617,2468,1530,793,0.61993517,0.321312804
E02002618,2040,1342,577,0.657843137,0.282843137
E02002619,2935,1916,879,0.652810903,0.299488927
E02002620,2953,1349,1432,0.456823569,0.484930579
E02002621,2413,1268,986,0.525486946,0.408619975
E02002622,3636,1711,1717,0.470572057,0.472222222
E02002623,4408,2803,1386,0.635889292,0.314428312
E02002624,3112,2890,165,0.928663239,0.053020566
E02002625,3323,1866,1292,0.561540776,0.388805296
E02002626,3042,2118,821,0.696252465,0.269888231
E02002627,2183,2000,139,0.916170408,0.063673843
E02002628,3048,2185,749,0.716863517,0.245734908
E02002629,2433,1640,699,0.67406494,0.28729963
E02002630,2594,1817,674,0.700462606,0.259830378
E02002631,3508,2882,526,0.821550741,0.149942987
E02002632,2469,2245,159,0.90927501,0.064398542
E02002633,3635,3235,324,0.889958735,0.089133425
E02002634,3962,2831,921,0.714538112,0.232458354
E02002635,3450,2925,455,0.847826087,0.131884058
E02002636,3519,2690,683,0.764421711,0.19408923
E02002637,2768,2326,351,0.840317919,0.126806358
E02002638,2853,1390,1334,0.487206449,0.467577988
E02002639,2719,1096,1482,0.403089371,0.545053328
E02002640,3540,1786,1584,0.504519774,0.447457627
E02002641,3537,2948,498,0.833474696,0.140797286
E02002642,3674,1703,1828,0.46352749,0.497550354
E02002643,3537,2361,1038,0.667514843,0.293469042
E02002644,3421,2988,357,0.873428822,0.104355452
E02002645,2493,1045,1319,0.419173686,0.529081428
E02002646,3276,2150,973,0.656288156,0.297008547
E02002647,3661,2735,799,0.747063644,0.218246381
E02002648,3187,2350,727,0.737370568,0.228114214
E02002649,3738,2610,1002,0.69823435,0.268057785
E02002650,3447,2899,450,0.841021178,0.130548303
E02002651,3523,2909,501,0.825716719,0.142208345
E02002574,2315,2169,107,0.936933045,0.046220302
E02002575,2726,2554,133,0.936903888,0.048789435
E02002576,3011,2135,775,0.709066755,0.257389572
E02002577,3230,1427,1661,0.441795666,0.514241486
E02002578,3027,2045,879,0.675586389,0.290386521
E02002579,3080,1829,1119,0.593831169,0.363311688
E02002580,3010,1522,1322,0.505647841,0.439202658
E02002581,2508,2077,370,0.82814992,0.147527911
E02002582,2685,2513,111,0.93594041,0.041340782
E02002583,3171,928,2116,0.29265216,0.667297383
E02002584,2965,2204,684,0.743338954,0.2306914
E02002585,3815,2570,1137,0.673656619,0.298034076
E02002586,3898,1728,1997,0.443304259,0.512314007
E02002587,2812,1556,1101,0.553342817,0.391536273
E02002588,3002,1420,1503,0.473017988,0.500666223
E02002589,2693,2548,73,0.946156703,0.027107315
E02002590,2477,2196,230,0.886556318,0.092854259
E02002591,2694,2157,457,0.800668151,0.169636229
E02002592,2265,1918,292,0.846799117,0.128918322
E02002593,2365,1689,581,0.714164905,0.245665962
E02002594,2551,1438,1019,0.56370051,0.399451196
E02002595,3445,1487,1768,0.431640058,0.513207547
E02002596,3390,2794,517,0.824188791,0.152507375
E02002597,3765,1545,2073,0.410358566,0.55059761
E02002598,2130,1853,142,0.869953052,0.066666667
E02002599,3287,2726,437,0.829327654,0.132947977
E02002600,3866,2723,1045,0.704345577,0.270305225
E02002601,3233,2844,342,0.879678317,0.105784101
E02002602,2924,1477,1307,0.505129959,0.446990424
E02002603,2927,2658,230,0.908097028,0.07857875
E02002604,3030,2788,201,0.920132013,0.066336634
E02002605,3349,2660,586,0.794266945,0.174977605
E02002606,3747,2408,1210,0.642647451,0.322925007
E02002607,3773,2395,1237,0.63477339,0.327855818
E02002608,3521,3259,204,0.925589321,0.057938086
E02002609,3345,1770,1450,0.529147982,0.43348281
E02002610,4426,3673,648,0.829868956,0.146407592
E02002611,3080,2773,248,0.900324675,0.080519481
E02002612,3960,3227,621,0.81489899,0.156818182
E02002613,2204,2025,125,0.918784029,0.056715064
E02002614,2277,2214,46,0.972332016,0.02020202
E02003794,3345,2829,418,0.84573991,0.124962631
E02003795,2134,1643,306,0.769915651,0.14339269
E02003796,3203,2231,863,0.696534499,0.269434905
E02003797,3696,3108,469,0.840909091,0.126893939
E02003798,2529,1274,1149,0.503756425,0.454329775
E02003799,3045,1685,1236,0.553366174,0.40591133
E02003800,2500,2219,212,0.8876,0.0848
E02003801,2892,2400,419,0.829875519,0.144882434
E02003802,3163,1477,1541,0.466961745,0.4871957
E02003803,3030,1690,1183,0.557755776,0.390429043
E02003804,3095,2215,785,0.715670436,0.253634895
E02003805,2519,2192,263,0.870186582,0.104406511
E02003806,2475,2228,191,0.90020202,0.077171717
E02003807,3774,3038,603,0.804981452,0.159777424
E02003808,2674,1722,849,0.643979058,0.31750187
E02003809,2852,1961,620,0.687587658,0.217391304
E02003810,3205,2444,597,0.762558502,0.186271451
E02003811,2210,1864,260,0.843438914,0.117647059
E02003812,2294,1996,242,0.870095902,0.105492589
E02003813,2508,2153,298,0.858452951,0.118819777
E02003814,2691,2224,411,0.826458566,0.152731327
E02003815,2822,1713,1008,0.6070163,0.35719348
E02003816,2895,2106,667,0.72746114,0.230397237
E02003817,2729,2443,231,0.895199707,0.084646391
E02003818,2365,2199,120,0.929809725,0.050739958
E02003819,2407,2085,267,0.866223515,0.110926464
E02003820,2560,2284,237,0.8921875,0.092578125
E02003821,2456,1830,563,0.745114007,0.229234528
E02003822,4273,3583,571,0.838520945,0.133629768
