MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02001770,6552,685,0.10454823
E02001771,6405,471,0.0735363
E02001772,5412,505,0.09331116
E02001773,5457,238,0.043613707
E02001774,5495,422,0.076797088
E02001775,5637,318,0.056412986
E02001776,8387,647,0.077143198
E02001777,6330,439,0.069352291
E02001778,6152,621,0.100942783
E02001779,5449,445,0.081666361
E02001780,5194,261,0.050250289
E02001781,5419,328,0.060527773
E02001782,8656,480,0.055452865
E02001783,6679,331,0.049558317
E02001784,6837,340,0.049729413
E02001785,7902,404,0.051126297
E02001786,7015,358,0.0510335
E02001787,5623,256,0.045527299
E02001788,5899,293,0.049669435
E02001789,5829,289,0.049579688
E02001790,5956,325,0.054566823
E02001791,5788,265,0.045784381
E02001792,7133,408,0.057198935
E02001793,8383,357,0.042586186
E02001794,8674,427,0.049227577
E02001795,7585,521,0.0686882
E02001796,9277,748,0.080629514
E02001797,5851,343,0.058622458
E02001798,8260,441,0.053389831
E02001799,10004,631,0.06307477
E02001800,7275,457,0.062817869
E02001801,6623,1074,0.162162162
E02001802,6302,454,0.072040622
E02001803,8644,2001,0.231490051
E02001804,6457,413,0.063961592
E02001805,5858,450,0.076818027
E02001806,8565,1030,0.120256859
E02001807,7297,418,0.057283815
E02001808,6058,640,0.105645428
E02001809,6559,365,0.055648727
E02001810,8582,475,0.055348404
E02001811,9184,496,0.054006969
E02001812,10468,703,0.06715705
E02001813,10093,564,0.055880313
E02001814,6407,407,0.06352427
E02001815,10328,535,0.05180093
E02001816,6913,408,0.059019239
E02001817,6290,345,0.054848967
E02001818,8435,511,0.060580913
E02001819,6941,362,0.052153868
E02001820,8528,426,0.049953096
E02001821,5948,313,0.05262273
E02001822,7597,523,0.068842964
E02001823,7129,428,0.060036471
E02001824,8406,484,0.057577921
E02001825,7065,348,0.0492569
E02001826,6599,449,0.068040612
E02002615,9298,548,0.058937406
E02002616,8617,527,0.061158176
E02002617,8913,388,0.04353192
E02002618,7543,322,0.042688585
E02002619,8784,723,0.082308743
E02002620,8465,862,0.101831069
E02002621,8381,540,0.064431452
E02002622,10137,723,0.071322877
E02002623,10066,1048,0.104112855
E02002624,8121,433,0.053318557
E02002625,9930,804,0.080966767
E02002626,7216,489,0.067766075
E02002627,7703,456,0.059197715
E02002628,7056,614,0.087018141
E02002629,5783,536,0.092685457
E02002630,6106,673,0.110219456
E02002631,9101,524,0.057576091
E02002632,6269,308,0.049130643
E02002633,7808,555,0.071080943
E02002634,8256,684,0.082848837
E02002635,7996,660,0.082541271
E02002636,8374,673,0.080367805
E02002637,6189,406,0.065600259
E02002638,6406,1017,0.158757415
E02002639,5770,537,0.093067591
E02002640,7317,952,0.130107968
E02002641,8268,767,0.092767296
E02002642,7081,1244,0.175681401
E02002643,7502,867,0.115569182
E02002644,8035,542,0.067454885
E02002645,5777,929,0.160810109
E02002646,7102,581,0.081807941
E02002647,8203,839,0.102279654
E02002648,7329,657,0.08964388
E02002649,8587,823,0.095842553
E02002650,7983,535,0.067017412
E02002651,8082,562,0.069537243
E02003811,5893,342,0.058034957
E02003812,5605,306,0.054594112
E02003813,6248,406,0.064980794
E02003814,7347,485,0.066013339
E02003815,6818,443,0.064975066
E02003816,6823,592,0.086765352
E02003817,7029,415,0.059041115
E02003818,5812,342,0.058843772
E02003819,5748,373,0.064892136
E02003820,6792,464,0.068315665
E02003821,5436,335,0.061626196
E02003822,10634,594,0.055858567
E02003823,6525,402,0.061609195
E02003824,5250,438,0.083428571
E02003825,6800,461,0.067794118
E02003826,7513,554,0.073738853
E02003827,8707,867,0.099575055
E02003828,6713,644,0.095933264
E02003829,6436,1076,0.167184587
E02003830,7294,839,0.115026049
E02003831,9062,624,0.068858972
E02003832,6008,881,0.146637816
E02003833,6374,388,0.060872294
E02003834,6737,792,0.117559745
E02003835,7853,385,0.04902585
E02003836,6898,625,0.090605973
E02003837,12035,1023,0.085002077
E02003838,6104,350,0.05733945
E02003839,7066,701,0.099207472
E02003840,10043,647,0.064422981
E02003853,5688,306,0.053797468
E02003854,6402,352,0.054982818
E02003855,6614,444,0.06713033
E02003856,10241,729,0.071184455
E02003857,6396,589,0.092088806
E02003858,6605,561,0.084935655
E02003859,11807,1123,0.095113069
E02003860,6990,454,0.064949928
E02003861,6418,391,0.060922406
E02003862,5128,348,0.067862715
E02003863,6773,519,0.076627787
E02003864,8026,676,0.084226265
E02003865,7593,528,0.069537732
E02003866,5961,313,0.052507968
E02003867,7544,535,0.070917285
E02003868,8257,626,0.07581446
E02003869,7020,486,0.069230769
E02003870,10288,1141,0.11090591
E02003871,6996,453,0.064751286
E02003872,9657,589,0.060992027
E02003873,6120,496,0.081045752
E02003794,8609,514,0.05970496
E02003795,5595,446,0.07971403
E02003796,7178,535,0.074533296
E02003797,9547,1122,0.117523829
E02003798,6060,377,0.062211221
E02003799,7039,500,0.071032817
