MSOA01CD,NS-SeC_all_2001,NS-SeC_higher_2001,NS-SeC_higher_2001_pct
E02001732,4548,592,0.130167106
E02001733,8160,1122,0.1375
E02001734,5105,830,0.1625857
E02001735,4365,310,0.071019473
E02001736,8130,1073,0.13198032
E02001737,4379,352,0.080383649
E02001738,4338,1634,0.376671277
E02001739,5580,1108,0.198566308
E02001740,4116,1785,0.433673469
E02001741,5272,1340,0.254172989
E02001742,4283,1608,0.375437777
E02001743,5424,1750,0.322640118
E02001744,4402,1093,0.248296229
E02001745,4791,1040,0.21707368
E02001746,5503,1567,0.284753771
E02001747,4556,1281,0.281167691
E02001748,3968,745,0.187752016
E02001749,4424,1171,0.264692586
E02001750,4538,1349,0.297267519
E02001751,4227,881,0.208422049
E02001752,4382,658,0.150159744
E02001753,4340,1536,0.353917051
E02001754,4428,1575,0.355691057
E02001755,5138,1761,0.342740366
E02001756,5184,676,0.130401235
E02001757,4474,935,0.208985248
E02001758,4487,982,0.218854468
E02001759,4392,1202,0.273679417
E02001760,5029,640,0.127261881
E02001761,4334,681,0.157129672
E02001762,4336,993,0.229012915
E02001763,4417,552,0.1249717
E02001764,4969,904,0.181927953
E02001765,4185,556,0.132855436
E02001766,4426,833,0.188206055
E02001767,5029,915,0.181944721
E02001768,5482,920,0.167821963
E02001769,5480,708,0.12919708
E02001770,5079,1236,0.243354991
E02001771,4521,693,0.153284672
E02001772,4157,831,0.199903777
E02001773,4394,1193,0.2715066
E02001774,3903,642,0.164488855
E02001775,3721,484,0.130072561
E02001776,5983,946,0.158114658
E02001777,4735,1036,0.218796199
E02001778,4409,680,0.154229984
E02001779,4033,492,0.121993553
E02001780,4456,620,0.139138241
E02001781,3831,373,0.097363613
E02001782,6380,857,0.134326019
E02001783,4830,511,0.105797101
E02001784,5034,676,0.134286849
E02001785,5896,1267,0.214891452
E02001786,5373,725,0.134933929
E02001787,4366,769,0.176133761
E02001788,4485,919,0.20490524
E02001789,4579,1695,0.370168159
E02001790,4181,1179,0.281989955
E02001791,4314,1080,0.250347705
E02001792,5210,1416,0.271785029
E02001793,6514,567,0.087043291
E02001794,6473,623,0.096245945
E02001795,6139,687,0.111907477
E02001796,6777,1438,0.212188284
E02001797,4512,1217,0.269725177
E02001798,6257,731,0.116829151
E02001799,7289,886,0.121553025
E02001800,5296,1095,0.206759819
E02001801,5095,666,0.130716389
E02001802,5090,385,0.075638507
E02001803,6248,829,0.132682458
E02001804,4314,605,0.140241076
E02001805,4422,831,0.187924016
E02001806,6182,768,0.12423164
E02001807,5424,1058,0.195058997
E02001808,4463,962,0.215550078
E02001809,5437,1188,0.218502851
E02001810,7022,1561,0.222301339
E02001811,6780,705,0.103982301
E02001812,7750,2467,0.318322581
E02001813,6991,619,0.088542412
E02001814,4255,702,0.164982374
E02001815,7844,2269,0.289265681
E02001816,5240,728,0.138931298
E02001817,5415,745,0.137580794
E02001818,5547,861,0.155219037
E02001819,5595,1687,0.301519214
E02001820,5692,1016,0.178496135
E02001821,4598,1082,0.235319704
E02001822,5782,1372,0.237288136
E02001823,5108,636,0.124510572
E02001824,6571,1364,0.207578755
E02001825,5859,904,0.154292541
E02001826,4723,548,0.116027948
E02002615,6327,1545,0.24419156
E02002616,5544,1700,0.306637807
E02002617,4950,470,0.094949495
E02002618,4585,519,0.113195202
E02002619,5333,773,0.144946559
E02002620,5365,594,0.110717614
E02002621,4795,359,0.074869656
E02002622,5948,639,0.107431069
E02002623,6871,1014,0.147576772
E02002624,5761,1751,0.303940288
E02002625,5536,1011,0.182622832
E02002626,5248,955,0.181974085
E02002627,4016,1176,0.292828685
E02002628,4899,978,0.199632578
E02002629,3970,592,0.149118388
E02002630,4287,785,0.183111733
E02002631,6240,1584,0.253846154
E02002632,4647,1852,0.39853669
E02002633,5536,1137,0.205382948
E02002634,5855,1190,0.20324509
E02002635,5548,1135,0.204578226
E02002636,5581,1092,0.19566386
E02002637,4588,981,0.213818657
E02002638,4917,724,0.147244255
E02002639,3863,439,0.113642247
E02002640,5135,664,0.129308666
E02002641,5879,1561,0.265521347
E02002642,5779,747,0.129261118
E02002643,5695,920,0.161545215
E02002644,5525,1317,0.238371041
E02002645,4628,491,0.106093345
E02002646,5069,817,0.161175774
E02002647,5612,818,0.145759088
E02002648,5112,792,0.154929577
E02002649,6179,1220,0.197442952
E02002650,5597,1181,0.211005896
E02002651,5688,1192,0.209563994
E02002574,4347,1184,0.272371751
E02002575,5390,2062,0.382560297
E02002576,5150,873,0.169514563
E02002577,5414,697,0.128740303
E02002578,5396,1011,0.187361008
E02002579,5534,745,0.134622335
E02002580,4586,554,0.120802442
E02002581,4867,1082,0.22231354
E02002582,5400,2284,0.422962963
E02002583,5233,581,0.11102618
E02002584,5336,972,0.182158921
E02002585,6133,1141,0.18604272
E02002586,6735,738,0.109576837
E02002587,5233,894,0.170838907
E02002588,5396,685,0.126945886
E02002589,5495,1531,0.278616924
E02002590,5242,1906,0.363601679
E02002591,4569,1462,0.319982491
E02002592,4238,1029,0.242803209
E02002593,4242,1405,0.331211693
E02002594,4291,1237,0.288277791
E02002595,5394,677,0.125509826
