MSOA11CD,median_price_2001
E02000146,147497.5
E02000147,230000
E02000148,216000
E02000149,122750
E02000150,230000
E02000151,220000
E02000152,145250
E02000153,205000
E02000154,138225
E02000155,138100
E02000156,202000
E02000157,190000
E02000158,176500
E02000159,234000
E02000160,199972.5
E02000161,195000
E02000162,170000
E02000163,215000
E02000165,139500
E02000166,295000
E02000167,435000
E02000168,210000
E02000169,435000
E02000170,249500
E02000171,265000
E02000172,200000
E02000173,327500
E02000174,208000
E02000175,240000
E02000176,324500
E02000177,233000
E02000178,182000
E02000179,310000
E02000180,199975
E02000181,249950
E02000182,286000
E02000183,310000
E02000184,165500
E02000185,200000
E02000186,310000
E02000187,158750
E02000188,169950
E02000189,180000
E02000190,189950
E02000191,250000
E02000192,250000
E02000193,270000
E02000194,102500
E02000195,162000
E02000196,172000
E02000197,150000
E02000198,96500
E02000199,124975
E02000200,87000
E02000201,90000
E02000202,131750
E02000203,107000
E02000204,136000
E02000206,91500
E02000207,109500
E02000208,103725
E02000209,118000
E02000210,125000
E02000211,149950
E02000212,110000
E02000213,91000
E02000214,174750
E02000215,105750
E02000216,153500
E02000217,119850
E02000218,168250
E02000219,202000
E02000220,105000
E02000221,116000
E02000222,119500
E02000223,90000
E02000224,117625
E02000225,115000
E02000226,195000
E02000227,132000
E02000228,249875
E02000229,100000
E02000230,177500
E02000231,303750
E02000232,182500
E02000233,148975
E02000234,172500
E02000235,168750
E02000236,173750
E02000237,182500
E02000238,139475
E02000239,168000
E02000240,124750
E02000241,141000
E02000242,153000
E02000243,130000
E02000244,155250
E02000245,90000
E02000246,125000
E02000247,104500
E02000248,192000
E02000249,145000
E02000250,270000
E02000251,145000
E02000252,135000
E02000253,141500
E02000254,132000
E02000255,238750
E02000256,205000
E02000257,215000
E02000258,214000
E02000259,172000
E02000260,120500
E02000261,190000
E02000262,176625
E02000263,130000
E02000264,230000
E02000265,182500
E02000266,128500
E02000267,182000
E02000268,235000
E02000269,229950
E02000270,165000
E02000271,352500
E02000272,217000
E02000274,118000
E02000275,132000
E02000276,195000
E02000277,123000
E02000278,114500
E02000279,126000
E02000280,157750
E02000281,110000
E02000282,90500
E02000283,122000
E02000284,146000
E02000285,186000
E02000286,135000
E02000287,374975
E02000288,115997.5
E02000289,245000
E02000290,86750
E02000291,127000
E02000292,138000
E02000293,243250
E02000294,122000
E02000295,163995
E02000296,155000
E02000297,200000
E02000298,250000
E02000299,111750
E02000300,105000
E02000301,105000
E02000302,175000
E02000303,91000
E02000304,250000
E02000305,152500
E02000306,88500
E02000307,121750
E02000308,169000
E02000309,108000
E02000311,139000
E02000312,137500
E02000313,80997
E02000314,117995
E02000315,92000
E02000316,90000
E02000317,110247.5
E02000318,93250
E02000319,91250
E02000320,98500
E02000321,80000
E02000323,99995
E02000324,130000
E02000326,152000
E02000327,83247.5
E02000328,182000
E02000329,113000
E02000331,133500
E02000332,123000
E02000333,177000
E02000334,137000
E02000335,138000
E02000337,115000
E02000339,158000
E02000340,119950
E02000341,103000
E02000342,126250
E02000343,122500
E02000344,154500
E02000345,125000
E02000346,108500
E02000347,146500
E02000348,144975
E02000350,162000
E02000351,163750
E02000352,187500
E02000353,228750
E02000354,138500
E02000355,176500
E02000356,202975
E02000357,113000
E02000358,160250
E02000359,162000
