MSOA11CD,earnings_2011
E02000581,14556.39
E02000582,33936.68
E02000583,32075.78
E02000584,35842.65
E02000585,29123.37
E02000586,36159.37
E02000587,32885.7
E02000588,38953.1
E02000589,30527.94
E02000590,26454.77
E02000591,24071.48
E02000592,41605.87
E02000593,29946.16
E02000594,31441.1
E02000595,31762.75
E02000596,32986.91
E02000597,19548.84
E02000598,25561.93
E02000599,21207.87
E02000600,23531.52
E02000601,25495.61
E02000602,17399.37
E02000603,16250.81
E02000604,21818.44
E02000605,20711.18
E02000606,27139.93
E02000607,22715.71
E02000608,26461.58
E02000609,18116.24
E02000610,24495.61
E02000611,20952.73
E02000612,21049.94
E02000613,22215.1
E02000614,16971.96
E02000615,18326.97
E02000616,19705.03
E02000617,17477.44
E02000619,18054.75
E02000620,22820.95
E02000621,23034.15
E02000622,20596.16
E02000623,16204.82
E02000624,17443.92
E02000625,14974.23
E02000626,13302.46
E02000627,19547.84
E02000628,13743.48
E02000629,25488.74
E02000630,26601.18
E02000631,22335.03
E02000632,27039.92
E02000633,17816.89
E02000634,20571.4
E02000635,21325.9
E02000636,31933.87
E02000637,24264.77
E02000638,17536.84
E02000639,15423.79
E02000640,25406.56
E02000641,14164.94
E02000642,21796.99
E02000643,20892.89
E02000644,20830.28
E02000645,21840.41
E02000646,20977.47
E02000647,20273.93
E02000648,15602.6
E02000649,20491.65
E02000650,19068.25
E02000651,19172.04
E02000652,14942.94
E02000653,17032.44
E02000654,13319.11
E02000655,15759.82
E02000657,18291.57
E02000658,18412.55
E02000659,22430.16
E02000660,23073.92
E02000661,28319.03
E02000662,17086.72
E02000663,20653.66
E02000664,17670.03
E02000665,22889.96
E02000666,19739.58
E02000667,21613.46
E02000668,23892.29
E02000669,21392.61
E02000670,16899.14
E02000671,21594.8
E02000672,16390.63
E02000673,25621.45
E02000674,17648.45
E02000675,20222.91
E02000676,20699.62
E02000677,17701.2
E02000678,15603.97
E02000679,19640.89
E02000680,19245.23
E02000681,15432.72
E02000682,14611.01
E02000683,15616.38
E02000685,18355.59
E02000686,14705.99
E02000687,19380.52
E02000689,28426.82
E02000690,29850.43
E02000691,29405.66
E02000692,34449.94
E02000693,23129.14
E02000694,27428.22
E02000695,15092.1
E02000696,17035.23
E02000697,32991.56
E02000698,28848.02
E02000699,29330.1
E02000700,16230.03
E02000701,14565.88
E02000702,16049.17
E02000703,23909.86
E02000704,22723.98
E02000705,15698.6
E02000706,13034.1
E02000707,14526.27
E02000708,20822.83
E02000709,19669.83
E02000710,15473.67
E02000711,15384.88
E02000712,14921.88
E02000713,18001.23
E02000714,13759.08
E02000715,10733.17
E02000716,11852.7
E02000717,10798.5
E02000718,11140.08
E02000719,13240.88
E02000720,12886.05
E02000721,10811.58
E02000722,14800.31
E02000723,11198.82
E02000724,10839.58
E02000725,16035.3
E02000726,15354.15
E02000727,10644.51
E02000728,11430.28
E02000729,12587.42
E02000730,10827.25
E02000731,11204.3
E02000732,10436.35
E02000733,13504.09
E02000734,12677.64
E02000735,10918.35
E02000736,11177.76
E02000737,12507.57
E02000738,13177.96
E02000739,11907.89
E02000740,13279.77
E02000741,12908.95
E02000742,12135.13
E02000743,11418.96
E02000744,13062.07
E02000745,13332.32
E02000746,12209.82
E02000747,15486.03
E02000748,14706.07
E02000749,12355.56
E02000750,19645.73
E02000751,23343
E02000752,14821.01
E02000753,15388.78
E02000754,19046.08
E02000755,18460.68
E02000756,16850.29
E02000757,24764.44
E02000758,15788.89
E02000759,20168.91
E02000760,15547.69
E02000762,16498.11
E02000763,16466.08
E02000764,24277.02
E02000765,17292.14
E02000767,16416.28
E02000768,24290.38
E02000769,16437.86
E02000770,14907.27
E02000772,14729.85
E02000773,14860.13
E02000774,13832.26
E02000776,15071.78
E02000777,21269.18
E02000779,15485.63
E02000780,13391.68
E02000781,14065.65
E02000782,11757.15
E02000783,12051.44
E02000784,27605.16
E02000785,33810.98
E02000786,29452.16
E02000787,27168.94
E02000788,30617.48
E02000789,33009.81
E02000790,37896.01
E02000791,37965.51
E02000792,33729.73
E02000793,20500.94
E02000794,27883.47
E02000795,28155.46
E02000796,17946.16
E02000797,33178.65
E02000798,23610.67
E02000799,28502.22
E02000800,20399.07
E02000801,31336.09
E02000802,26253.24
E02000803,20916.16
E02000804,28867.07
E02000805,26360.69
E02000806,24587.18
E02000807,28021.74
E02000808,24094.5
E02000809,35314.98
E02000810,18048.49
E02000812,18299.26
E02000813,16939.98
E02000814,25764.83
E02000815,19242.26
E02000816,16441.1
E02000817,13592.74
E02000818,15021.25
E02000819,14446.15
E02000820,18458.66
E02000821,13253.82
E02000822,13882.59
E02000823,15418.08
E02000824,12885.44
E02000825,13263.63
E02000826,15065.21
E02000827,14446.72
E02000828,13161.86
E02000829,14633.08
E02000830,21371.82
E02000831,19582.39
E02000832,15053.11
E02000833,18197.96
E02000834,25338.55
E02000835,19406.2
E02000836,24929.28
E02000837,29253.24
E02000838,22654.44
E02000839,23792.17
E02000840,13731.57
E02000841,13992.45
E02000842,17717.21
E02000843,20094.47
E02000844,16083.45
E02000845,20452.15
E02000846,18164.54
E02000847,19410.02
E02000848,18332.89
E02000849,19348.31
E02000850,18603.21
