MSOA01CD,qualification_all_2001,qualification_2001,qualification_2001_pct
E02001728,7373,729,0.098874271
E02001729,8232,1949,0.236758989
E02001730,7158,2018,0.281922325
E02001731,7731,2132,0.275772863
E02001732,4548,375,0.082453826
E02001733,8160,835,0.102328431
E02001734,5105,542,0.106170421
E02001735,4365,182,0.041695304
E02001736,8130,1269,0.156088561
E02001737,4379,269,0.06142955
E02001738,4338,1357,0.312816966
E02001739,5580,571,0.102329749
E02001740,4116,1528,0.371234208
E02001741,5272,826,0.156676783
E02001742,4283,1114,0.260098062
E02001743,5424,1410,0.259955752
E02001744,4402,708,0.160835984
E02001745,4791,551,0.115007305
E02001746,5503,1126,0.204615664
E02001747,4556,989,0.217076383
E02001748,3968,420,0.105846774
E02001749,4424,666,0.150542495
E02001750,4538,932,0.205376818
E02001751,4227,537,0.127040454
E02001752,4382,358,0.081697855
E02001753,4340,1366,0.314746544
E02001754,4428,1222,0.275971093
E02001755,5138,1347,0.262164266
E02001756,5184,410,0.079089506
E02001757,4474,533,0.119132767
E02001758,4487,484,0.107867172
E02001759,4392,864,0.196721311
E02001760,5029,369,0.073374428
E02001761,4334,399,0.09206276
E02001762,4336,471,0.108625461
E02001763,4417,289,0.065429024
E02001764,4969,575,0.115717448
E02001765,4185,345,0.082437276
E02001766,4426,538,0.121554451
E02001767,5029,532,0.105786439
E02001768,5482,726,0.132433418
E02001769,5480,554,0.101094891
E02001770,5079,944,0.185863359
E02001771,4521,516,0.114134041
E02001772,4157,593,0.14265095
E02001773,4394,900,0.204824761
E02001774,3903,424,0.108634384
E02001775,3721,275,0.073904864
E02001776,5983,610,0.101955541
E02001777,4735,602,0.127138332
E02001778,4409,462,0.104785666
E02001779,4033,289,0.071658815
E02001780,4456,457,0.102558348
E02001781,3831,218,0.056904203
E02001782,6380,552,0.086520376
E02001783,4830,287,0.05942029
E02001784,5034,468,0.092967819
E02001785,5896,889,0.15078019
E02001786,5373,428,0.079657547
E02001787,4366,489,0.112001832
E02001788,4485,558,0.124414716
E02001789,4579,1420,0.310111378
E02001790,4181,898,0.214781153
E02001791,4314,723,0.16759388
E02001792,5210,1128,0.216506718
E02001793,6514,274,0.042063248
E02001794,6473,329,0.05082651
E02001795,6139,435,0.070858446
E02001796,6777,1080,0.15936255
E02001797,4512,744,0.164893617
E02001798,6257,380,0.06073198
E02001799,7289,478,0.065578269
E02001800,5296,586,0.110649547
E02001801,5095,636,0.124828263
E02001802,5090,240,0.047151277
E02001803,6248,1239,0.198303457
E02001804,4314,339,0.078581363
E02001805,4422,627,0.141791045
E02001806,6182,679,0.109835005
E02001807,5424,583,0.107485251
E02001808,4463,867,0.194263948
E02001809,5437,762,0.140150818
E02001810,7022,852,0.121332954
E02001811,6780,434,0.064011799
E02001812,7750,2106,0.271741935
E02001813,6991,338,0.048347876
E02001814,4255,484,0.113748531
E02001815,7844,1523,0.194161142
E02001816,5240,445,0.084923664
E02001817,5415,441,0.081440443
E02001818,5547,555,0.100054083
E02001819,5595,1205,0.215370867
E02001820,5692,585,0.102775826
E02001821,4598,598,0.130056546
E02001822,5782,830,0.143548945
E02001823,5108,327,0.064017228
E02001824,6571,905,0.137726373
E02001825,5859,606,0.10343062
E02001826,4723,332,0.070294304
E02002615,6327,1110,0.175438596
E02002616,5544,1392,0.251082251
E02002617,4950,419,0.084646465
E02002618,4585,501,0.109269357
E02002619,5333,696,0.130508157
E02002620,5365,522,0.097297297
E02002621,4795,347,0.072367049
E02002622,5948,448,0.075319435
E02002623,6871,636,0.092562946
E02002624,5761,1215,0.210900885
E02002625,5536,671,0.121206647
E02002626,5248,595,0.113376524
E02002627,4016,629,0.156623506
E02002628,4899,615,0.125535824
E02002629,3970,319,0.080352645
E02002630,4287,523,0.121996734
E02002631,6240,968,0.155128205
E02002632,4647,1367,0.294168281
E02002633,5536,677,0.122290462
E02002634,5855,689,0.117677199
E02002635,5548,751,0.135364095
E02002636,5581,613,0.109836947
E02002637,4588,561,0.122275501
E02002638,4917,475,0.09660362
E02002639,3863,271,0.070152731
E02002640,5135,346,0.067380721
E02002641,5879,988,0.168055792
E02002642,5779,486,0.084097595
E02002643,5695,567,0.099561018
E02002644,5525,685,0.1239819
E02002645,4628,264,0.05704408
E02002646,5069,428,0.0844348
E02002647,5612,373,0.066464718
E02002648,5112,357,0.069835681
E02002649,6179,629,0.101796407
E02002650,5597,568,0.101482937
E02002651,5688,591,0.103902954
E02002574,4347,831,0.191166322
E02002575,5390,1273,0.236178108
E02002576,5150,473,0.09184466
E02002577,5414,373,0.068895456
E02002578,5396,618,0.114529281
E02002579,5534,386,0.069750632
E02002580,4586,303,0.06607065
E02002581,4867,621,0.127594
E02002582,5400,1295,0.239814815
E02002583,5233,337,0.064399006
E02002584,5336,490,0.091829085
E02002585,6133,649,0.105820969
E02002586,6735,370,0.054936897
E02002587,5233,410,0.078348939
E02002588,5396,357,0.066160119
E02002589,5495,905,0.164695177
E02002590,5242,1508,0.287676459
E02002591,4569,1112,0.243379295
E02002592,4238,688,0.162340727
E02002593,4242,976,0.230080151
E02002594,4291,802,0.18690282
E02002595,5394,371,0.068780126
